"rank","category_title","Metric"
"1","Entertainment",10327
"2","News & Politics",3245
"3","People & Blogs",3051
"4","Music",2813
"5","Comedy",2711
"6","Sports",2158
"7","Film & Animation",1552
"8","Howto & Style",1545
"9","Gaming",980
"10","Science & Technology",856
"11","Education",723
