"rank","category_title","Metric"
"1","Entertainment",7407
"2","Music",4785
"3","Howto & Style",3163
"4","Comedy",2457
"5","People & Blogs",2328
"6","Science & Technology",1796
"7","Film & Animation",1729
"8","News & Politics",1685
"9","Sports",1647
"10","Education",1255
"11","Gaming",728
